RAILLINK_I,출발역,종착역,LENGTH,호선,,,,,,,
1103002,대청,일원,1.2,서울3호선,,,,,,,
1103003,대청,학여울,0.9,서울3호선,,,,,,,
1103004,학여울,대치,0.8,서울3호선,,,,,,,
1103005,대치,도곡,0.8,서울3호선,,,,,,,
1103006,매봉,도곡,0.8,서울3호선,,,,,,,
1103007,양재(서초구청),매봉,1.2,서울3호선,,,,,,,
1103008,남부터미널(예술의전당),양재(서초구청),1.8,서울3호선,,,,,,,
1103009,교대(법원.검찰청),남부터미널(예술의전당),0.9,서울3호선,,,,,,,
1103010,교대(법원.검찰청),고속터미널,1.6,서울3호선,,,,,,,
1103011,고속터미널,잠원,1.2,서울3호선,,,,,,,
1103012,잠원,신사,0.9,서울3호선,,,,,,,
1103013,신사,압구정,1.5,서울3호선,,,,,,,
1103014,옥수,압구정,2.1,서울3호선,,,,,,,
1103015,금호,옥수,0.8,서울3호선,,,,,,,
1103016,금호,약수,0.8,서울3호선,,,,,,,
1103017,약수,동대입구,0.7,서울3호선,,,,,,,
1103018,동대입구,충무로,0.9,서울3호선,,,,,,,
1103019,충무로,을지로3가,0.7,서울3호선,,,,,,,
1103020,종로3가,을지로3가,0.6,서울3호선,,,,,,,
1103021,종로3가,안국,1,서울3호선,,,,,,,
1103022,안국,경복궁(정부서울청사),1.1,서울3호선,,,,,,,
1103023,독립문,경복궁(정부서울청사),1.6,서울3호선,,,,,,,
1103024,독립문,무악재,1.1,서울3호선,,,,,,,
1103025,홍제,무악재,0.9,서울3호선,,,,,,,
1103026,녹번,홍제,1.6,서울3호선,,,,,,,
1103027,녹번,불광,1.1,서울3호선,,,,,,,
1103028,불광,연신내,1.3,서울3호선,,,,,,,
1103029,연신내,구파발,2,서울3호선,,,,,,,
1103030,지축,구파발,1.5,서울3호선,,,,,,,
1103031,수서,가락시장,1.4,서울3호선,,,,,,,
1103032,가락시장,경찰병원,0.8,서울3호선,,,,,,,
1103033,경찰병원,오금,0.8,서울3호선,,,,,,,
1104001,상계,당고개,1.2,서울4호선,,,,,,,
1104002,노원,상계,1,서울4호선,,,,,,,
1104003,노원,창동,1.4,서울4호선,,,,,,,
1104004,쌍문,창동,1.3,서울4호선,,,,,,,
1104005,쌍문,수유(강북구청),1.5,서울4호선,,,,,,,
1104006,미아(서울사이버대학),수유(강북구청),1.4,서울4호선,,,,,,,
1104007,미아사거리,미아(서울사이버대학),1.5,서울4호선,,,,,,,
1104008,미아사거리,길음,1.3,서울4호선,,,,,,,
1104009,성신여대입구(돈암),길음,1.4,서울4호선,,,,,,,
1104010,한성대입구(삼선교),성신여대입구(돈암),1,서울4호선,,,,,,,
1104011,혜화,한성대입구(삼선교),0.9,서울4호선,,,,,,,
1104012,동대문,혜화,1.5,서울4호선,,,,,,,
1104013,동대문,동대문역사문화공원,0.7,서울4호선,,,,,,,
1104014,동대문역사문화공원,충무로,1.3,서울4호선,,,,,,,
1104015,충무로,명동,0.7,서울4호선,,,,,,,
1104016,회현(남대문시장),명동,0.7,서울4호선,,,,,,,
1104017,회현(남대문시장),서울,0.9,서울4호선,,,,,,,
1104018,서울역,숙대입구(갈월),1,서울4호선,,,,,,,
1104019,삼각지,숙대입구(갈월),1.2,서울4호선,,,,,,,
1104020,삼각지,신용산,0.7,서울4호선,,,,,,,
1104021,이촌(국립중앙박물관),신용산,1.3,서울4호선,,,,,,,
1104022,동작(현충원),이촌(국립중앙박물관),2.7,서울4호선,,,,,,,
1104023,총신대입구(이수),동작(현충원),1.8,서울4호선,,,,,,,
1104024,총신대입구(이수),사당,1.1,서울4호선,,,,,,,
1104025,사당,이수,1.6,서울4호선,,,,,,,
1105001,개화산,방화,0.9,서울5호선,,,,,,,
1105002,개화산,김포공항,1.2,서울5호선,,,,,,,
1105003,김포공항,송정,1.2,서울5호선,,,,,,,
1105004,송정,마곡,1.1,서울5호선,,,,,,,
1105005,마곡,발산,1.2,서울5호선,,,,,,,
1105006,발산,우장산,1.1,서울5호선,,,,,,,
1105007,우장산,화곡,1,서울5호선,,,,,,,
1105008,화곡,까치산,1.2,서울5호선,,,,,,,
1105009,까치산,신정(은행정),1.3,서울5호선,,,,,,,
1105010,목동,신정(은행정),0.8,서울5호선,,,,,,,
1105011,목동,오목교(목동운동장앞),0.9,서울5호선,,,,,,,
1105012,양평,오목교(목동운동장앞),1.1,서울5호선,,,,,,,
1105013,영등포구청,양평,0.8,서울5호선,,,,,,,
1105014,영등포구청,영등포시장,0.9,서울5호선,,,,,,,
1105015,신길,영등포시장,1.1,서울5호선,,,,,,,
1105016,신길,여의도,1,서울5호선,,,,,,,
1105017,여의나루,여의도,1,서울5호선,,,,,,,
1105018,마포,여의나루,1.8,서울5호선,,,,,,,
1105019,마포,공덕,0.8,서울5호선,,,,,,,
1105020,애오개,공덕,1.1,서울5호선,,,,,,,
1105021,충정로(경기대입구),애오개,0.9,서울5호선,,,,,,,
1105022,서대문,충정로(경기대입구),0.7,서울5호선,,,,,,,
1105023,서대문,광화문(세종문화회관),1.1,서울5호선,,,,,,,
1105024,종로3가,광화문(세종문화회관),1.2,서울5호선,,,,,,,
1105025,을지로4가,종로3가,1,서울5호선,,,,,,,
1105027,동대문역사문화공원,청구,0.9,서울5호선,,,,,,,
1105028,청구,신금호,0.9,서울5호선,,,,,,,
1105029,행당,신금호,0.8,서울5호선,,,,,,,
1105030,행당,왕십리(성동구청),0.9,서울5호선,,,,,,,
1105031,왕십리(성동구청),마장,0.7,서울5호선,,,,,,,
1105032,마장,답십리,1,서울5호선,,,,,,,
1105033,장한평,답십리,1.2,서울5호선,,,,,,,
1105034,장한평,군자(능동),1.5,서울5호선,,,,,,,
1105035,아차산(어린이대공원후문),군자(능동),1,서울5호선,,,,,,,
1105036,광나루(장신대),아차산(어린이대공원후문),1.5,서울5호선,,,,,,,
1105037,천호(풍납토성),광나루(장신대),2,서울5호선,,,,,,,
1105038,강동,천호(풍납토성),0.8,서울5호선,,,,,,,
1105039,강동,둔촌동,1.2,서울5호선,,,,,,,
1105040,올림픽공원(한국체대),둔촌동,1.4,서울5호선,,,,,,,
1105041,올림픽공원(한국체대),방이,0.9,서울5호선,,,,,,,
1105042,오금,방이,0.9,서울5호선,,,,,,,
1105043,개롱,오금,0.9,서울5호선,,,,,,,
1105044,개롱,거여,0.9,서울5호선,,,,,,,
1105045,거여,마천,0.9,서울5호선,,,,,,,
1105046,길동,강동,0.9,서울5호선,,,,,,,
1105047,굽은다리(강동구민회관앞),길동,0.8,서울5호선,,,,,,,
1105048,굽은다리(강동구민회관앞),명일,0.7,서울5호선,,,,,,,
1105049,명일,고덕,1.2,서울5호선,,,,,,,
1105050,고덕,상일동,1.1,서울5호선,,,,,,,
1105051,을지로4가,동대문역사문화공원,0.9,서울5호선,,,,,,,
1105052,강동,천호(풍납토성),0.8,서울5호선,,,,,,,
1106001,역촌,응암,1.1,서울6호선,,,,,,,
1106002,역촌,불광,0.8,서울6호선,,,,,,,
1106003,불광,독바위,0.9,서울6호선,,,,,,,
1106004,연신내,연신내,1.4,서울6호선,,,,,,,
1106005,구산,연신내,0.9,서울6호선,,,,,,,
1106006,응암,구산,1.5,서울6호선,,,,,,,
1106007,응암,새절(신사),0.9,서울6호선,,,,,,,
1106008,증산(명지대앞),새절(신사),0.9,서울6호선,,,,,,,
1106009,증산(명지대앞),디지털미디어시티,1.1,서울6호선,,,,,,,
1106010,월드컵경기장(성산),디지털미디어시티,0.8,서울6호선,,,,,,,
1106011,월드컵경기장(성산),마포구청,0.8,서울6호선,,,,,,,
1106012,마포구청,망원,1,서울6호선,,,,,,,
1106013,망원,합정,0.8,서울6호선,,,,,,,
1106014,합정,상수,0.8,서울6호선,,,,,,,
1106015,광흥창(서강),상수,0.9,서울6호선,,,,,,,
1106016,광흥창(서강),대흥(서강대앞),1,서울6호선,,,,,,,
1106017,공덕,대흥(서강대앞),0.9,서울6호선,,,,,,,
1106018,효창공원앞,공덕,0.9,서울6호선,,,,,,,
1106019,효창공원앞,삼각지,1.2,서울6호선,,,,,,,
1106020,삼각지,녹사평(용산구청),1.1,서울6호선,,,,,,,
1106021,이태원,녹사평(용산구청),0.8,서울6호선,,,,,,,
1106022,이태원,한강진,1,서울6호선,,,,,,,
1106023,한강진,버티고개,1,서울6호선,,,,,,,
1106024,버티고개,약수,0.7,서울6호선,,,,,,,
1106025,약수,청구,0.8,서울6호선,,,,,,,
1106026,신당,청구,0.7,서울6호선,,,,,,,
1106027,동묘앞,신당,0.6,서울6호선,,,,,,,
1106028,창신,동묘앞,0.9,서울6호선,,,,,,,
1106029,보문,창신,0.8,서울6호선,,,,,,,
1106030,보문,안암(고대병원앞),0.9,서울6호선,,,,,,,
1106031,안암(고대병원앞),고려대(종암),0.8,서울6호선,,,,,,,
1106032,고려대(종암),월곡(동덕여대),1.4,서울6호선,,,,,,,
1106033,상월곡(한국과학기술연구원),월곡(동덕여대),0.8,서울6호선,,,,,,,
1106034,돌곶이,상월곡(한국과학기술연구원),0.8,서울6호선,,,,,,,
1106035,석계,돌곶이,1,서울6호선,,,,,,,
1106036,태릉입구,석계,0.8,서울6호선,,,,,,,
1106037,태릉입구,화랑대(서울여대입구),0.9,서울6호선,,,,,,,
1106038,봉화산(서울의료원),화랑대(서울여대입구),0.7,서울6호선,,,,,,,
1106039,신내,봉화산,1.3,서울6호선,,,,,,,
1107001,도봉산,장암,1.4,서울7호선,,,,,,,
1107002,도봉산,수락산,1.6,서울7호선,,,,,,,
1107003,수락산,마들,1.4,서울7호선,,,,,,,
1107004,마들,노원,1.2,서울7호선,,,,,,,
1107005,노원,중계,1.1,서울7호선,,,,,,,
1107006,하계,중계,1,서울7호선,,,,,,,
1107007,공릉(서울과학기술대),하계,1.3,서울7호선,,,,,,,
1107008,공릉(서울과학기술대),태릉입구,0.8,서울7호선,,,,,,,
1107009,태릉입구,먹골,0.9,서울7호선,,,,,,,
1107010,먹골,중화,0.9,서울7호선,,,,,,,
1107011,중화,상봉(시외버스터미널),1,서울7호선,,,,,,,
1107012,면목,상봉(시외버스터미널),0.8,서울7호선,,,,,,,
1107013,사가정,면목,0.9,서울7호선,,,,,,,
1107014,사가정,용마산,0.8,서울7호선,,,,,,,
1107015,용마산,중곡,0.9,서울7호선,,,,,,,
1107016,중곡,군자(능동),1.1,서울7호선,,,,,,,
1107017,어린이대공원(세종대),군자(능동),1.1,서울7호선,,,,,,,
1107018,건대입구,어린이대공원(세종대),0.8,서울7호선,,,,,,,
1107019,건대입구,뚝섬유원지,1,서울7호선,,,,,,,
1107020,뚝섬유원지,청담,2,서울7호선,,,,,,,
1107021,청담,강남구청,1.1,서울7호선,,,,,,,
1107022,학동,강남구청,0.9,서울7호선,,,,,,,
1107023,논현,학동,1,서울7호선,,,,,,,
1107024,반포,논현,0.9,서울7호선,,,,,,,
1107025,고속터미널,반포,0.9,서울7호선,,,,,,,
1107026,내방,고속터미널,2.2,서울7호선,,,,,,,
1107027,이수,내방,1,서울7호선,,,,,,,
1107028,남성,이수,1,서울7호선,,,,,,,
1107029,숭실대입구(살피재),남성,2,서울7호선,,,,,,,
1107030,상도,숭실대입구(살피재),0.9,서울7호선,,,,,,,
1107031,상도,장승배기,0.9,서울7호선,,,,,,,
1107032,신대방삼거리,장승배기,1.2,서울7호선,,,,,,,
1107033,신대방삼거리,보라매,0.8,서울7호선,,,,,,,
1107034,신풍,보라매,0.9,서울7호선,,,,,,,
1107035,대림(구로구청),신풍,1.4,서울7호선,,,,,,,
1107036,대림(구로구청),남구로,1.1,서울7호선,,,,,,,
1107037,남구로,가산디지털단지,0.8,서울7호선,,,,,,,
1107038,가산디지털단지,철산,1.4,서울7호선,,,,,,,
1107039,철산,광명사거리,1.3,서울7호선,,,,,,,
1107040,광명사거리,천왕,1.7,서울7호선,,,,,,,
1107041,온수(성공회대입구),천왕,1.5,서울7호선,,,,,,,
1107042,온수(성공회대입구),까치울,2.2,서울7호선,,,,,,,
1108001,암사,천호(풍납토성),1.3,서울8호선,,,,,,,
1108002,강동구청,천호(풍납토성),0.9,서울8호선,,,,,,,
1108003,몽촌토성(평화의문),강동구청,1.6,서울8호선,,,,,,,
1108004,잠실(송파구청),몽촌토성(평화의문),0.8,서울8호선,,,,,,,
1108005,석촌,잠실(송파구청),1.2,서울8호선,,,,,,,
1108006,석촌,송파,0.9,서울8호선,,,,,,,
1108007,송파,가락시장,0.8,서울8호선,,,,,,,
1108008,가락시장,문정,0.9,서울8호선,,,,,,,
1108009,장지,문정,0.9,서울8호선,,,,,,,
1108010,장지,복정,0.9,서울8호선,,,,,,,
1108011,복정,남위례,2.7,서울8호선,,,,,,,
1109001,개화,김포공항,3.6,서울9호선,,,,,,,
1109002,김포공항,공항시장,0.8,서울9호선,,,,,,,
1109003,신방화,공항시장,0.8,서울9호선,,,,,,,
1109004,마곡나루,신방화,1.1,서울9호선,,,,,,,
1109005,양천향교,마곡나루,1,서울9호선,,,,,,,
1109006,가양,양천향교,1.3,서울9호선,,,,,,,
1109007,증미,가양,0.7,서울9호선,,,,,,,
1109008,등촌,증미,1,서울9호선,,,,,,,
1109009,등촌,염창,0.9,서울9호선,,,,,,,
1109010,신목동,염창,0.9,서울9호선,,,,,,,
1109011,신목동,선유도,1.2,서울9호선,,,,,,,
1109012,선유도,당산,1,서울9호선,,,,,,,
1109013,국회의사당,당산,1.5,서울9호선,,,,,,,
1109014,국회의사당,여의도,0.9,서울9호선,,,,,,,
1109015,샛강,여의도,0.8,서울9호선,,,,,,,
1109016,노량진,샛강,1.2,서울9호선,,,,,,,
1109017,노량진,노들,1.1,서울9호선,,,,,,,
1109018,노들,흑석(중앙대입구),1.1,서울9호선,,,,,,,
1109019,흑석(중앙대입구),동작(현충원),1.4,서울9호선,,,,,,,
1109020,동작(현충원),구반포,1,서울9호선,,,,,,,
1109021,구반포,신반포,0.7,서울9호선,,,,,,,
1109022,고속터미널,신반포,0.8,서울9호선,,,,,,,
1109023,사평,고속터미널,1.1,서울9호선,,,,,,,
1109024,사평,신논현,0.9,서울9호선,,,,,,,
1109025,신방화,마곡나루,0.9,서울9호선,,,,,,,
1109026,마곡나루,양천향교,1.4,서울9호선,,,,,,,
1109035,삼성중앙,봉은사,0.8,서울9호선,,,,,,,
1109036,신논현,언주,0.8,서울9호선,,,,,,,
1109037,종합운동장,봉은사,1.4,서울9호선,,,,,,,
1109038,삼성중앙,선정릉,0.8,서울9호선,,,,,,,
1109039,언주,선정릉,0.9,서울9호선,,,,,,,
2010001,서울역,남영,1.7,서울1호선,,,,,,,
2010002,용산,노량진,1.5,서울1호선,,,,,,,
2010003,남영,용산,0.8,서울1호선,,,,,,,
2010005,대방,신길,0.8,서울1호선,,,,,,,
2010006,신길,영등포,1,서울1호선,,,,,,,
2010007,영등포,신도림,1.5,서울1호선,,,,,,,
2010008,구로,신도림,1.1,서울1호선,,,,,,,
2010009,가산디지털단지,구로,1.1,서울1호선,,,,,,,
2010010,독산,가산디지털단지,2,서울1호선,,,,,,,
2010011,독산,금천구청,1.2,서울1호선,,,,,,,
2010012,금천구청,석수,1.1,서울1호선,,,,,,,
2010091,석수,관악,1.2,서울1호선,,,,,,,
2010092,남영,서울역,1.7,서울1호선,,,,,,,
2010095,노량진,용산,1.8,서울1호선,,,,,,,
2010096,구로,구일,1.3,서울1호선,,,,,,,
2010103,금천구청,광명,3.6,서울1호선,,,,,,,
2010111,서울역,남영,1.7,서울1호선,,,,,,,
2010113,용산,노량진,1.5,서울1호선,,,,,,,
2010114,남영,용산,0.8,서울1호선,,,,,,,
2010115,노량진,대방,1.8,서울1호선,,,,,,,
2010116,대방,신길,1.5,서울1호선,,,,,,,
2010119,영등포,신길,1,서울1호선,,,,,,,
2010120,영등포,신도림,1.5,서울1호선,,,,,,,
2010121,영등포,신길,1,서울1호선,,,,,,,
2010122,신도림,영등포,1.5,서울1호선,,,,,,,
2010123,신도림,구로,1.1,서울1호선,,,,,,,
2010191,응봉,옥수,1.8,경의중앙선(수도권전철),,,,,,,
2010192,한남,옥수,1.6,경의중앙선(수도권전철),,,,,,,
2010193,왕십리(성동구청),응봉,1.4,경의중앙선(수도권전철),,,,,,,
2010195,왕십리(성동구청),청량리(서울시립대입구),2.4,경의중앙선(수도권전철),,,,,,,
2010196,회기,청량리(서울시립대입구),1.4,경의중앙선(수도권전철),,,,,,,
2010197,청량리(서울시립대입구),회기,1.4,경의중앙선(수도권전철),,,,,,,
2010198,왕십리(성동구청),청량리(서울시립대입구),2.4,경의중앙선(수도권전철),,,,,,,
2010216,상봉(시외버스터미널),중랑,0.8,경의중앙선(수도권전철),,,,,,,
2010217,망우,상봉(시외버스터미널),0.6,경의중앙선(수도권전철),,,,,,,
2010218,상봉(시외버스터미널),중랑,0.8,경의중앙선(수도권전철),,,,,,,
2010219,상봉(시외버스터미널),망우,0.6,경의중앙선(수도권전철),,,,,,,
2010232,금천구청,석수,2.8,경의중앙선(수도권전철),,,,,,,
2010235,망우,상봉(시외버스터미널),0.6,경춘선(수도권전철),,,,,,,
2010236,중랑,상봉(시외버스터미널),0.8,경춘선(수도권전철),,,,,,,
2030002,가좌,신촌,2.7,경의중앙선(수도권전철),,,,,,,
2030003,디지털미디어시티,가좌,1.7,경의중앙선(수도권전철),,,,,,,
2030004,수색,디지털미디어시티,0.6,경의중앙선(수도권전철),,,,,,,
2030005,수색,화전,1.7,경의중앙선(수도권전철),,,,,,,
2030006,가좌,디지털미디어시티,1.7,경의중앙선(수도권전철),,,,,,,
2030027,신촌,서울역,3.1,경의중앙선(수도권전철),,,,,,,
2030029,상봉(시외버스터미널),망우,0.6,경의중앙선(수도권전철),,,,,,,
2030030,중랑,상봉(시외버스터미널),0.8,경의중앙선(수도권전철),,,,,,,
2030031,회기,중랑,1.8,경의중앙선(수도권전철),,,,,,,
2030032,청량리(서울시립대입구),회기,1.4,경의중앙선(수도권전철),,,,,,,
2032003,공덕,서강대,1.9,경의중앙선(수도권전철),,,,,,,
2032004,서강대,홍대입구,0.9,경의중앙선(수도권전철),,,,,,,
2032005,홍대입구,가좌,1.7,경의중앙선(수도권전철),,,,,,,
2050001,이촌(국립중앙박물관),용산,1.1,경의중앙선(수도권전철),,,,,,,
2050002,이촌(국립중앙박물관),서빙고,1.7,경의중앙선(수도권전철),,,,,,,
2050003,한남,서빙고,1.9,경의중앙선(수도권전철),,,,,,,
2050004,한남,옥수,1.6,경의중앙선(수도권전철),,,,,,,
2050005,응봉,옥수,1.8,경의중앙선(수도권전철),,,,,,,
2050006,왕십리(성동구청),응봉,1.4,경의중앙선(수도권전철),,,,,,,
2050007,청량리(서울시립대입구),왕십리(성동구청),2.4,경의중앙선(수도권전철),,,,,,,
2050009,외대앞,회기,0.8,서울1호선,,,,,,,
2050010,신이문,외대앞,0.8,서울1호선,,,,,,,
2050011,석계,신이문,1.4,서울1호선,,,,,,,
2050012,광운대,석계,1.1,서울1호선,,,,,,,
2050013,월계,광운대,1.1,서울1호선,,,,,,,
2050014,월계,녹천,1.4,서울1호선,,,,,,,
2050015,녹천,창동,1,서울1호선,,,,,,,
2050016,창동,방학,1.7,서울1호선,,,,,,,
2050017,방학,도봉,1.3,서울1호선,,,,,,,
2050018,도봉산,도봉,1.2,서울1호선,,,,,,,
2050019,도봉산,망월사,2.3,서울1호선,,,,,,,
2050039,신용산,용산,0.8,경의중앙선(수도권전철),,,,,,,
2100001,망우,상봉(시외버스터미널),0.6,경춘선(수도권전철),,,,,,,
2100002,신내,망우,2.1,경춘선(수도권전철),,,,,,,
2100019,신내,갈매,2.6,경춘선(수도권전철),,,,,,,
2120001,중랑,회기,1.8,경춘선(수도권전철),,,,,,,
2120003,양원,망우,1.7,경의중앙선(수도권전철),,,,,,,
2120004,신내,양원,3.2,경의중앙선(수도권전철),,,,,,,
2120024,회기,청량리(서울시립대입구),1.4,경춘선(수도권전철),,,,,,,
2120083,상봉(시외버스터미널),중랑,0.8,경춘선(수도권전철),,,,,,,
2121001,상봉(시외버스터미널),광운대,4.3,경춘선(수도권전철),,,,,,,
2700001,보문,신설동,1,우이신설선,,,,,,,
2700002,보문,성신여대입구(돈암),0.9,우이신설선,,,,,,,
2700003,성신여대입구(돈암),정릉,1.2,우이신설선,,,,,,,
2700004,정릉,북한산보국문,1.2,우이신설선,,,,,,,
2700005,북한산보국문,솔샘,1.2,우이신설선,,,,,,,
2700006,삼양사거리,솔샘,0.8,우이신설선,,,,,,,
2700007,삼양,삼양사거리,0.7,우이신설선,,,,,,,
2700008,삼양,화계,0.8,우이신설선,,,,,,,
2700009,화계,가오리,0.8,우이신설선,,,,,,,
2700010,가오리,4.19민주묘지,0.9,우이신설선,,,,,,,
2700011,솔밭공원,4.19민주묘지,0.7,우이신설선,,,,,,,
2700012,솔밭공원,북한산우이,0.8,우이신설선,,,,,,,
3010004,온수(성공회대입구),오류동,1.9,서울1호선,,,,,,,
3010005,역곡,온수(성공회대입구),1.3,서울1호선,,,,,,,
3010021,구로,구일,1,서울1호선,,,,,,,
3030001,남태령,선바위,2,서울4호선,,,,,,,
3040001,한티,선릉,1,분당선,,,,,,,
3040002,도곡,한티,0.7,분당선,,,,,,,
3040003,도곡,구룡,0.6,분당선,,,,,,,
3040004,개포동,구룡,0.7,분당선,,,,,,,
3040005,대모산입구,개포동,0.6,분당선,,,,,,,
3040006,대모산입구,수서,3,분당선,,,,,,,
3040007,복정,수서,3.2,분당선,,,,,,,
3040008,복정,가천대,2.4,분당선,,,,,,,
3040022,왕십리(성동구청),서울숲,2.2,분당선,,,,,,,
3040023,서울숲,압구정로데오,1.9,분당선,,,,,,,
3040024,강남구청,강남구청,1.2,분당선,,,,,,,
3040025,강남구청,선정릉,0.7,분당선,,,,,,,
3040026,선정릉,선릉,0.7,분당선,,,,,,,
3040036,왕십리(성동구청),청량리(서울시립대입구),2.4,분당선,,,,,,,
3060001,양재(서초구청),강남,1.5,신분당선,,,,,,,
3060002,양재시민의숲(매헌),양재(서초구청),1.6,신분당선,,,,,,,
3060003,양재시민의숲(매헌),청계산입구,2.9,신분당선,,,,,,,
3060004,판교,청계산입구,8.2,신분당선,,,,,,,
4100221,삼전,종합운동장,1.4,서울지하철9호선,,,,,,,
